Node ID	Title	Body	Year	Category	Course	DateCreated	Repository	Collection	Source	Copyright	Production Company	Copyright Notes	Film Title	Director	Photographer	Form/Genre	Location	Physical Description	Notes	File path	File id	File: Name	All Files	Image: Display Image
214	Agreement dated Feb 19th  1920 - Joseph Urban v. International Film Services  p. 1	Repository:هتRare Book & Manuscript Library  Columbia University Collection:هتJoseph Urban papersYear:هت1920Location:هتBox 25  Folder 9Physical Description:هتTyped contractNotes:هتFebruary 19  1920	1920	Motion Picture Set Design	Historiography	1920	Rare Book & Manuscript Library  Columbia University	Joseph Urban papers									Box 25  Folder 9	Typed contract	2/19/1920					
215	Agreement dated Feb 19th  1920 - Joseph Urban v. International Film Services  p.2	Repository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتJoseph Urban papersYear:هت1920Location:هتBox 25  Folder 9Physical Description:هتTyped contract with signatures at bottomNotes:هتFebruary 19  1920	1920	Motion Picture Set Design	Historiography	1920	Rare Book & Manuscript Library  Columbia University	Joseph Urban papers									Box 25  Folder 9	Typed contract with signatures at bottom	2/19/1920					
413	Albert and David Maysles	Source:هتBox 135  Folder 6Repository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Year:هت1968Physical Description:هت Notes:هتVisible Evidence	1968		Documentary Tradition	1968	Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 135  Folder 6										Visible Evidence					
102	Alla Nazimova	Repository:هتMOMA stills archive Year:هت1923Film Title:هتSalomeDirector:هتCharles Bryant	1923	Women Film Pioneers	Historiography	1923	MOMA stills archive						Salome	Charles Bryant										
104	Alla Nazimova #2	Repository:هتMOMA stills archive Year:هت1921Film Title:هتCamilleDirector:هتRay C. Smallwood  Notes:هتportrait for Camille""	1921	Women Film Pioneers	Historiography	1921	MOMA stills archive						Camille	Ray C. Smallwood					portrait for Camille""					
161	Baum. Art of Decorating  p. 109	Repository:هتRare Book & Manuscript Library  Columbia UniversityLocation:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
162	Baum. Art of Decorating  p. 267	Repository:هتRare Book & Manuscript Library  Columbia UniversityLocation:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
163	Baum. Art of Decorating  p. 273	Repository:هتRare Book & Manuscript Library  Columbia UniversityLocation:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
155	Baum. Art of Decorating  p. 82	Repository:هتRare Book & Manuscript Library  Columbia University Location:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
156	Baum. Art of Decorating  p. 83	Repository:هتRare Book & Manuscript Library  Columbia UniversityLocation:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
157	Baum. Art of Decorating  p. 96	Repository:هتRare Book & Manuscript Library  Columbia UniversityLocation:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
159	Baum. Art of Decorating  p. 97	Repository:هتRare Book & Manuscript Library  Columbia UniversityLocation:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book & Manuscript Library  Columbia University										B812B327 O 1900	Book page						
160	Baum. Art of Decorating  p. 99	Repository:هت   Rare Book &  Manuscript Library  Columbia University   هت   Location:هتB812B327 O 1900Physical Description:هتBook page		Motion Picture Set Design	Historiography		Rare Book &  Manuscript Library  Columbia University   هت										B812B327 O 1900	Book page						
471	Baum: Window				Historiography															sites/files/gainesfilm/images/Baumwindow2.thumbnail.jpg	987	thumbnail	thumbnail | _original	
471	Baum: Window				Historiography															sites/files/gainesfilm/images/Baumwindow2.jpg	986	_original	thumbnail | _original	
101	Bess Meredyth	Repository:هتAMPAS		Women Film Pioneers	Historiography		AMPAS																	
87	Billy Rose & Cecil B. DeMille	Repository:هتHarold B Lee Library  Brigham Young University Collection:هتCecil B. DeMille Collection		Women Film Pioneers	Historiography		Harold B Lee Library  Brigham Young University	Cecil B. DeMille Collection																
124	Cecil B DeMille Article A-23 (1 of 3)	Repository:هتHarold B Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9							
125	Cecil B DeMille Article A-23 (2 of 3)	Repository:هتHarold B Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9			sites/files/gainesfilm/images/A_demille_a-23-2.jpg	119	_original	_original | thumbnail | preview	
125	Cecil B DeMille Article A-23 (2 of 3)	Repository:هتHarold B Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9			sites/files/gainesfilm/images/A_demille_a-23-2.thumbnail.jpg	120	thumbnail	_original | thumbnail | preview	
125	Cecil B DeMille Article A-23 (2 of 3)	Repository:هتHarold B Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9			sites/files/gainesfilm/images/A_demille_a-23-2.preview.jpg	121	preview	_original | thumbnail | preview	
126	Cecil B DeMille Article A-23 (3 of 3)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9			sites/files/gainesfilm/images/A_demille_a-23-3.jpg	122	_original	_original | thumbnail | preview	
126	Cecil B DeMille Article A-23 (3 of 3)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9			sites/files/gainesfilm/images/A_demille_a-23-3.thumbnail.jpg	123	thumbnail	_original | thumbnail | preview	
126	Cecil B DeMille Article A-23 (3 of 3)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionLocation:هتMSS 1400 Box 221 Fld 9		Women Film Pioneers	Historiography		Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 221 Fld 9			sites/files/gainesfilm/images/A_demille_a-23-3.preview.jpg	124	preview	_original | thumbnail | preview	
127	Cecil B DeMille letter (1 of 2)	Repository:هتHarold B. Lee Library  Brigham Young University Collection:هتCecil B. DeMille Collection  Year:هت1918Location:هتMSS 1400 Box 66 Fld 40	1918	Women Film Pioneers	Historiography	1918	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40			sites/files/gainesfilm/images/C_demille_letter_1918-1.jpg	134	_original	_original | thumbnail | preview	
127	Cecil B DeMille letter (1 of 2)	Repository:هتHarold B. Lee Library  Brigham Young University Collection:هتCecil B. DeMille Collection  Year:هت1918Location:هتMSS 1400 Box 66 Fld 40	1918	Women Film Pioneers	Historiography	1918	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40			sites/files/gainesfilm/images/C_demille_letter_1918-1.thumbnail.jpg	135	thumbnail	_original | thumbnail | preview	
127	Cecil B DeMille letter (1 of 2)	Repository:هتHarold B. Lee Library  Brigham Young University Collection:هتCecil B. DeMille Collection  Year:هت1918Location:هتMSS 1400 Box 66 Fld 40	1918	Women Film Pioneers	Historiography	1918	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40			sites/files/gainesfilm/images/C_demille_letter_1918-1.preview.jpg	136	preview	_original | thumbnail | preview	
128	Cecil B DeMille letter (2 of 2)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1918Location:هتMSS 1400 Box 66 Fld 40	1918	Women Film Pioneers	Historiography	1918	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40			sites/files/gainesfilm/images/C_demille_letter_1918-2.jpg	128	_original	_original | thumbnail | preview	
128	Cecil B DeMille letter (2 of 2)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1918Location:هتMSS 1400 Box 66 Fld 40	1918	Women Film Pioneers	Historiography	1918	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40			sites/files/gainesfilm/images/C_demille_letter_1918-2.thumbnail.jpg	129	thumbnail	_original | thumbnail | preview	
128	Cecil B DeMille letter (2 of 2)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1918Location:هتMSS 1400 Box 66 Fld 40	1918	Women Film Pioneers	Historiography	1918	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40			sites/files/gainesfilm/images/C_demille_letter_1918-2.preview.jpg	130	preview	_original | thumbnail | preview	
129	Cecil B DeMille three letters (1 of 6)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1933Location:هتMSS 1400 Box 66 Fld 40 Notes:هتSeptember 13  1933	1933	Women Film Pioneers	Historiography	1933	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40		9/13/1933					
130	Cecil B DeMille three letters (2 of 6)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1933Location:هتMSS 1400 Box 66 Fld 40	1933	Women Film Pioneers	Historiography	1933	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40							
131	Cecil B DeMille three letters (3 of 6)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1933Location:هتMSS 1400 Box 66 Fld 40 Notes:هتOctober 10  1933	1933	Women Film Pioneers	Historiography	1933	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40		10/10/1933					
132	Cecil B DeMille three letters (4 of 6)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1933Location:هتMSS 1400 Box 66 Fld 40 Notes:هتOctober 10  1933	1933	Women Film Pioneers	Historiography	1933	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40		10/10/1933					
133	Cecil B DeMille three letters (5 of 6)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMille CollectionYear:هت1933Location:هتMSS 1400 Box 66 Fld 40 Notes:هتSeptember 15  1933	1933	Women Film Pioneers	Historiography	1933	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille Collection									MSS 1400 Box 66 Fld 40		9/15/1933					
134	Cecil B DeMille three letters (6 of 6)	Repository:هتHarold B. Lee Library  Brigham Young UniversityCollection:هتCecil B. DeMilleYear:هت1933Location:هتMSS 1400 Box 66 Fld 40 Notes:هتSeptember 15  1933	1933	Women Film Pioneers	Historiography	1933	Harold B. Lee Library  Brigham Young University	Cecil B. DeMille									MSS 1400 Box 66 Fld 40		9/15/1933					
135	Cinema 16 Distribution Catalog Film Listings (1 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues1.jpg	155	_original	_original | thumbnail | preview	
135	Cinema 16 Distribution Catalog Film Listings (1 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues1.thumbnail.jpg	156	thumbnail	_original | thumbnail | preview	
135	Cinema 16 Distribution Catalog Film Listings (1 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues1.preview.jpg	157	preview	_original | thumbnail | preview	
136	Cinema 16 Distribution Catalog Film Listings (2 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues2.jpg	158	_original	_original | thumbnail | preview	
136	Cinema 16 Distribution Catalog Film Listings (2 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues2.thumbnail.jpg	159	thumbnail	_original | thumbnail | preview	
136	Cinema 16 Distribution Catalog Film Listings (2 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues2.preview.jpg	160	preview	_original | thumbnail | preview	
137	Cinema 16 Distribution Catalog Film Listings (3 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues3.jpg	161	_original	_original | thumbnail | preview	
137	Cinema 16 Distribution Catalog Film Listings (3 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues3.thumbnail.jpg	162	thumbnail	_original | thumbnail | preview	
137	Cinema 16 Distribution Catalog Film Listings (3 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues3.preview.jpg	163	preview	_original | thumbnail | preview	
138	Cinema 16 Distribution Catalog Film Listings (4 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues4.jpg	164	_original	_original | thumbnail | preview	
138	Cinema 16 Distribution Catalog Film Listings (4 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues4.thumbnail.jpg	165	thumbnail	_original | thumbnail | preview	
138	Cinema 16 Distribution Catalog Film Listings (4 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues4.preview.jpg	166	preview	_original | thumbnail | preview	
139	Cinema 16 Distribution Catalog Film Listings (5 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues5.jpg	167	_original	_original | thumbnail | preview	
139	Cinema 16 Distribution Catalog Film Listings (5 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues5.thumbnail.jpg	168	thumbnail	_original | thumbnail | preview	
139	Cinema 16 Distribution Catalog Film Listings (5 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues5.preview.jpg	169	preview	_original | thumbnail | preview	
140	Cinema 16 Distribution Catalog Film Listings (6 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues6.jpg	170	_original	_original | thumbnail | preview	
140	Cinema 16 Distribution Catalog Film Listings (6 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues6.thumbnail.jpg	171	thumbnail	_original | thumbnail | preview	
140	Cinema 16 Distribution Catalog Film Listings (6 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues6.preview.jpg	172	preview	_original | thumbnail | preview	
141	Cinema 16 Distribution Catalog Film Listings (7 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues7.jpg	173	_original	_original | thumbnail | preview	
141	Cinema 16 Distribution Catalog Film Listings (7 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues7.thumbnail.jpg	174	thumbnail	_original | thumbnail | preview	
141	Cinema 16 Distribution Catalog Film Listings (7 of 7)	Year:هت1963	1963	Avant-Garde Historiography	Historiography	1963														sites/files/gainesfilm/images/cinema_16_dist_catalogues7.preview.jpg	175	preview	_original | thumbnail | preview	
21	Cinema 16 Program Announcement	Year:هت1947	1947	Avant-Garde Historiography	Historiography	1947																		
417	Cinema 16: Amos Vogel Contract With Shirley Clarke for Premier of  In Paris Parks""	Source:هتBox 6  Folder 2Repository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Year:هت1955	1955	Avant-Garde Historiography	Historiography	1955	Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 6  Folder 2															
421	Cinema Frontiers Program Program	Cinema Frontiers program: March 21; March 28; April 3; April 11Source:هتBox 6  Folder 16Repository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Physical Description:هتCinema Frontiers program: March 21; March 28; April 3; April 11		Avant-Garde Historiography	Historiography		Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 6  Folder 16									Cinema Frontiers program: March 21; March 28; April 3; April 11						
422	Cinema Frontiers Program Program (Inside)  with note from Stan	Source:هتBox 6  Folder 13Repository:هتRare Book and Manuscript Library  Columbia UniversityCollection:هتAmos Vogel Papers Notes:هت (Are you there ?- Stan")"			Documentary Tradition		Rare Book and Manuscript Library  Columbia University	Amos Vogel Papers	Box 6  Folder 13										 (Are you there ?- Stan")"					
107	Claire West  designer	Repository:هتAMPAS		Women Film Pioneers	Historiography		AMPAS																	
226	Color Sketch of Altar - Old Chapel""	Repository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتJoseph Urban papersYear:هت1921Film Title:هتBuried TreasureLocation:هتBox 26  Folder 7Director:هتGeorge D. BakerPhysical Description:هتColor drawingNotes:هتwith Marion Davies	1921			1921	Rare Book & Manuscript Library  Columbia University	Joseph Urban papers					Buried Treasure	George D. Baker			Box 26  Folder 7	Color drawing	with Marion Davies	sites/files/gainesfilm/images/1000102071.jpg	436	_original	_original | thumbnail | preview	
226	Color Sketch of Altar - Old Chapel""	Repository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتJoseph Urban papersYear:هت1921Film Title:هتBuried TreasureLocation:هتBox 26  Folder 7Director:هتGeorge D. BakerPhysical Description:هتColor drawingNotes:هتwith Marion Davies	1921			1921	Rare Book & Manuscript Library  Columbia University	Joseph Urban papers					Buried Treasure	George D. Baker			Box 26  Folder 7	Color drawing	with Marion Davies	sites/files/gainesfilm/images/1000102071.thumbnail.jpg	437	thumbnail	_original | thumbnail | preview	
226	Color Sketch of Altar - Old Chapel""	Repository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتJoseph Urban papersYear:هت1921Film Title:هتBuried TreasureLocation:هتBox 26  Folder 7Director:هتGeorge D. BakerPhysical Description:هتColor drawingNotes:هتwith Marion Davies	1921			1921	Rare Book & Manuscript Library  Columbia University	Joseph Urban papers					Buried Treasure	George D. Baker			Box 26  Folder 7	Color drawing	with Marion Davies	sites/files/gainesfilm/images/1000102071.preview.jpg	438	preview	_original | thumbnail | preview	
274	Contact sheet for Nanook": images N106-N140"	Source:هتRobert and Frances Flahery Study Center  ClaremontRepository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتFlaherty  Robert PapersFilm Title:هتNanook of the NorthLocation:هتBox 80  black binderDirector:هتFlahertyNotes:هتN132 Living conditions					Rare Book & Manuscript Library  Columbia University	Flaherty  Robert Papers	Robert and Frances Flahery Study Center  Claremont				Nanook of the North	Flaherty			Box 80  black binder		N132 Living conditions					
275	Contact sheet for Nanook": images N176-N210"	Source:هتRobert and Frances Flahery Study Center  ClaremontRepository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتFlaherty  Robert PapersFilm Title:هتNanook of the NorthLocation:هتBox 80  black binderDirector:هتFlahertyNotes:هتN193 Portrait					Rare Book & Manuscript Library  Columbia University	Flaherty  Robert Papers	Robert and Frances Flahery Study Center  Claremont				Nanook of the North	Flaherty			Box 80  black binder		N193 Portrait					
276	Contact sheet for Nanook": images N246-N280"	Source:هتRobert and Frances Flahery Study Center  ClaremontRepository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتFlaherty  Robert PapersFilm Title:هتNanook of the NorthLocation:هتBox 80  black binderDirector:هتFlahertyNotes:هتN256 Portrait					Rare Book & Manuscript Library  Columbia University	Flaherty  Robert Papers	Robert and Frances Flahery Study Center  Claremont				Nanook of the North	Flaherty			Box 80  black binder		N256 Portrait					
277	Contact sheet for Nanook": images N281-N315"	Source:هتRobert and Frances Flahery Study Center  ClaremontRepository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتFlaherty  Robert PapersFilm Title:هتNanook of the NorthLocation:هتBox 80  black binderDirector:هتFlahertyNotes:هتN290 Misc.					Rare Book & Manuscript Library  Columbia University	Flaherty  Robert Papers	Robert and Frances Flahery Study Center  Claremont				Nanook of the North	Flaherty			Box 80  black binder		N290 Misc.					
273	Contact sheet for Nanook": images N71 - N105"	Source:هتRobert and Frances Flahery Study Center  ClaremontRepository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتFlaherty  Robert PapersFilm Title:هتNanook of the NorthLocation:هتBox 80  black binderDirector:هتFlahertyNotes:هتN90 Living conditions					Rare Book & Manuscript Library  Columbia University	Flaherty  Robert Papers	Robert and Frances Flahery Study Center  Claremont				Nanook of the North	Flaherty			Box 80  black binder		N90 Living conditions					
260	Contractual Letter from Technicolor	Repository:هتRare Book & Manuscript Library  Columbia UniversityCollection:هتSponable PapersYear:هت1941Location:هتBox 53  Technicolor - Agreements  contracts and pricesNotes:هتOctober 30  1941	1941	Technological History		1941	Rare Book & Manuscript Library  Columbia University	Sponable Papers									Box 53  Technicolor - Agreements  contracts and prices		10/30/1941					
142	Conversation with Brakhage (1 of 3)	Year:هت1955Film Title:هتHallelujahNotes:هتCinema 16 Hallelujah" screening  1955   Included: ill. from "Hallelujah" (1929) "	1955	Avant-Garde Historiography	Historiography	1955							Hallelujah						Cinema 16 Hallelujah" screening  1955   Included: ill. from "Hallelujah" (1929) "					
143	Conversation with Brakhage (2 of 3)	Year:هت1955Film Title:هتHallelujahNotes:هتCinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	1955	Avant-Garde Historiography	Historiography	1955							Hallelujah						Cinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	sites/files/gainesfilm/images/brakhage_conversation2.jpg	183	_original	_original | thumbnail | preview	
143	Conversation with Brakhage (2 of 3)	Year:هت1955Film Title:هتHallelujahNotes:هتCinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	1955	Avant-Garde Historiography	Historiography	1955							Hallelujah						Cinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	sites/files/gainesfilm/images/brakhage_conversation2.thumbnail.jpg	184	thumbnail	_original | thumbnail | preview	
143	Conversation with Brakhage (2 of 3)	Year:هت1955Film Title:هتHallelujahNotes:هتCinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	1955	Avant-Garde Historiography	Historiography	1955							Hallelujah						Cinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	sites/files/gainesfilm/images/brakhage_conversation2.preview.jpg	185	preview	_original | thumbnail | preview	
144	Conversation with Brakhage (3 of 3)	Year:هت1955Film Title:هتHallelujahNotes:هتCinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	1955	Avant-Garde Historiography	Historiography	1955							Hallelujah						Cinema 16 Hallelujah" screening  1955  Included: ill. from "Hallelujah" (1929) "	sites/files/gainesfilm/images/brakhage_conversation3.jpg	186	_original	_original | thumbnail | preview	
